git_commit,rustc_version,command,seed,timestamp,input_count,component_count,input_model,unsupported_input_features,instance_name,family,parameters,component_id,status,message,exact_cover_compared,cell_count,boundary_complexity,hole_count,reflex_vertex_count,horizontal_chord_count,vertical_chord_count,total_chord_count,effective_chord_enumerator,effective_chord_enumeration_microseconds,prepared_component_build_count,prepared_component_build_microseconds,boundary_index_build_count,boundary_index_build_microseconds,boundary_index_entries,boundary_index_owned_bytes,linear_boundary_vertex_lookup_count,gap_interval_membership_tests,gap_event_push_count,gap_event_pop_count,clean_endpoint_pair_comparisons,boundary_extraction_microseconds,reflex_grouping_microseconds,occupancy_bytes,horizontal_interior_run_count,vertical_interior_run_count,candidate_reflex_pair_count,emitted_chord_count,explicit_conflict_edge_count,edge_density_numerator,edge_density_denominator,biclique_count,biclique_total_vertex_occurrences,biclique_size_per_chord_numerator,biclique_size_per_chord_denominator,biclique_size_per_edge_numerator,biclique_size_per_edge_denominator,c0_network_vertex_count,c0_network_arc_count,compressed_network_vertex_count,compressed_network_arc_count,maximum_matching_size,minimum_vertex_cover_size,output_rectangle_count,completion_backend,conflict_representation,path_tree_orientation,path_tree_orientation_policy,dual_region_count,dual_tree_vertex_count,path_count,path_edge_incidence_count,total_path_length_metric,dual_tree_max_depth,dual_tree_max_branching_degree,heavy_chain_count,heavy_chain_interval_count,tree_edge_occurrences,theoretical_path_occurrence_bound,theoretical_tree_edge_occurrence_bound,canonical_segment_node_count,path_tree_sigma,four_d_sigma,selected_chord_cut_materialization_microseconds,horizontal_simple_chord_completion_microseconds,vertical_simple_chord_completion_microseconds,rectangle_recovery_microseconds,final_output_validation_microseconds,initial_horizontal_unit_cut_count,initial_vertical_unit_cut_count,completion_added_horizontal_unit_cuts,completion_added_vertical_unit_cuts,horizontal_simple_chord_count,vertical_simple_chord_count,completion_candidate_queries,completion_full_grid_scans,completion_candidate_revalidations,completion_stale_candidates,completion_ray_extension_unit_steps,rectangle_recovery_component_visits,rectangle_recovery_queue_pushes,rectangle_recovery_region_count,rectangle_recovery_allocations,c0_phase_microseconds,compressed_phase_microseconds,compact_only_phase_microseconds,peak_memory_bytes,owned_allocation_estimates,region_dual_backend,region_dual_construction_microseconds,dual_tree_edge_count,dual_allocated_bytes,dual_unit_cut_count,dual_area_cell_visits,dual_interval_count,dual_maximum_nesting_depth,hld_interval_count,explicit_path_records_materialized
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,laminar-chain-3,laminar-chain,"{""scale"":3,""t"":3}",0,verified,,false,1171,52,0,24,6,6,12,prepared-path-tree-input,1,1,5,1,1,52,2504,0,0,6,6,0,207,2,1225,,,,,,,,1,12,12,12,,,0,0,15,24,6,6,19,,path-tree,vertical-tree-horizontal-paths,bound-estimate,7,7,6,36,36,6,2,1,6,6,96,96,1,12,,0,58,35,10,7,0,156,114,0,12,0,5448,2,12,0,114,1171,1171,19,3,{},{},{},,"{""biclique_vectors"":152,""boundary_index"":2504,""boundary_intervals_and_events"":1536,""canonical_segment_nodes"":56,""chain_edge_vectors"":48,""compact_path_records"":144,""compressed_flow_graph"":312,""dual_edges_and_adjacency"":504,""endpoint_tables"":384,""gap_region_labels"":416,""hld_arrays"":560,""path_tree_certificate_payload"":288}",boundary-laminar,5,6,216,0,0,6,0,1,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,laminar-star-3,laminar-star,"{""scale"":3,""teeth"":3}",0,verified,,false,16,14,0,5,2,0,2,prepared-path-tree-input,0,1,0,1,0,14,680,0,0,2,2,0,9,1,28,,,,,,,,0,0,0,2,,,0,0,4,2,0,0,4,,path-tree,horizontal-tree-vertical-paths,bound-estimate,3,3,0,0,0,1,2,2,0,0,0,16,0,0,,0,1,1,0,0,2,0,1,0,1,0,165,2,1,0,1,16,16,4,3,{},{},{},,"{""biclique_vectors"":0,""boundary_index"":680,""boundary_intervals_and_events"":432,""canonical_segment_nodes"":0,""chain_edge_vectors"":16,""compact_path_records"":0,""compressed_flow_graph"":48,""dual_edges_and_adjacency"":184,""endpoint_tables"":64,""gap_region_labels"":112,""hld_arrays"":240,""path_tree_certificate_payload"":48}",boundary-laminar,1,2,88,0,0,2,0,0,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,balanced-laminar-3,balanced-laminar,"{""scale"":3,""teeth"":4}",0,verified,,false,29,18,0,7,3,0,3,prepared-path-tree-input,1,1,0,1,0,18,872,0,0,3,3,0,15,0,54,,,,,,,,0,0,0,3,,,0,0,5,3,0,0,5,,path-tree,horizontal-tree-vertical-paths,bound-estimate,4,4,0,0,0,1,3,3,0,0,0,24,0,0,,0,10,2,0,0,3,0,1,0,1,0,285,2,1,0,1,29,29,5,3,{},{},{},,"{""biclique_vectors"":0,""boundary_index"":872,""boundary_intervals_and_events"":576,""canonical_segment_nodes"":0,""chain_edge_vectors"":24,""compact_path_records"":0,""compressed_flow_graph"":64,""dual_edges_and_adjacency"":264,""endpoint_tables"":96,""gap_region_labels"":144,""hld_arrays"":320,""path_tree_certificate_payload"":72}",boundary-laminar,1,3,120,0,0,3,0,0,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,asymmetric-orientation-3,asymmetric-orientation,"{""mask"":9971,""scale"":3}",0,verified,,false,9,12,0,4,1,1,2,prepared-path-tree-input,0,1,0,1,0,12,584,0,0,1,1,0,4,0,16,,,,,,,,1,2,2,2,,,0,0,5,4,1,1,4,,path-tree,vertical-tree-horizontal-paths,bound-estimate,2,2,1,1,1,1,1,1,1,1,8,8,1,2,,0,1,0,0,0,0,2,2,0,2,0,110,2,2,0,2,9,9,4,3,{},{},{},,"{""biclique_vectors"":72,""boundary_index"":584,""boundary_intervals_and_events"":336,""canonical_segment_nodes"":56,""chain_edge_vectors"":8,""compact_path_records"":24,""compressed_flow_graph"":72,""dual_edges_and_adjacency"":104,""endpoint_tables"":64,""gap_region_labels"":96,""hld_arrays"":160,""path_tree_certificate_payload"":48}",boundary-laminar,12,1,56,0,0,1,0,1,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,laminar-chain-8,laminar-chain,"{""scale"":8,""t"":8}",0,verified,,false,4596,132,0,64,16,16,32,prepared-path-tree-input,2,1,17,1,1,132,6344,0,0,16,16,0,758,3,4900,,,,,,,,1,32,32,32,,,0,0,35,64,16,16,49,,path-tree,vertical-tree-horizontal-paths,bound-estimate,17,17,16,256,256,16,2,1,16,16,384,384,1,32,,0,173,130,33,27,0,816,464,0,32,0,21188,2,32,0,464,4596,4596,49,3,{},{},{},,"{""biclique_vectors"":312,""boundary_index"":6344,""boundary_intervals_and_events"":3936,""canonical_segment_nodes"":56,""chain_edge_vectors"":128,""compact_path_records"":384,""compressed_flow_graph"":792,""dual_edges_and_adjacency"":1304,""endpoint_tables"":1024,""gap_region_labels"":1056,""hld_arrays"":1360,""path_tree_certificate_payload"":768}",boundary-laminar,7,16,536,0,0,16,0,1,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,laminar-star-8,laminar-star,"{""scale"":8,""teeth"":8}",0,verified,,false,81,34,0,15,7,0,7,prepared-path-tree-input,0,1,1,1,0,34,1640,0,0,7,7,0,41,0,153,,,,,,,,0,0,0,7,,,0,0,9,7,0,0,9,,path-tree,horizontal-tree-vertical-paths,bound-estimate,8,8,0,0,0,1,7,7,0,0,0,84,0,0,,0,6,5,1,1,7,0,1,0,1,0,725,2,1,0,1,81,81,9,3,{},{},{},,"{""biclique_vectors"":0,""boundary_index"":1640,""boundary_intervals_and_events"":1152,""canonical_segment_nodes"":0,""chain_edge_vectors"":56,""compact_path_records"":0,""compressed_flow_graph"":128,""dual_edges_and_adjacency"":584,""endpoint_tables"":224,""gap_region_labels"":272,""hld_arrays"":640,""path_tree_certificate_payload"":168}",boundary-laminar,2,7,248,0,0,7,0,0,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,balanced-laminar-8,balanced-laminar,"{""scale"":8,""teeth"":9}",0,verified,,false,109,38,0,17,8,0,8,prepared-path-tree-input,0,1,1,1,0,38,1832,0,0,8,8,0,52,0,209,,,,,,,,0,0,0,8,,,0,0,10,8,0,0,10,,path-tree,horizontal-tree-vertical-paths,bound-estimate,9,9,0,0,0,1,8,8,0,0,0,128,0,0,,0,7,7,0,2,8,0,1,0,1,0,965,2,1,0,1,109,109,10,3,{},{},{},,"{""biclique_vectors"":0,""boundary_index"":1832,""boundary_intervals_and_events"":1296,""canonical_segment_nodes"":0,""chain_edge_vectors"":64,""compact_path_records"":0,""compressed_flow_graph"":144,""dual_edges_and_adjacency"":664,""endpoint_tables"":256,""gap_region_labels"":304,""hld_arrays"":720,""path_tree_certificate_payload"":192}",boundary-laminar,2,8,280,0,0,8,0,0,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,asymmetric-orientation-8,asymmetric-orientation,"{""mask"":9971,""scale"":8}",0,verified,,false,9,12,0,4,1,1,2,prepared-path-tree-input,0,1,0,1,0,12,584,0,0,1,1,0,4,0,16,,,,,,,,1,2,2,2,,,0,0,5,4,1,1,4,,path-tree,vertical-tree-horizontal-paths,bound-estimate,2,2,1,1,1,1,1,1,1,1,8,8,1,2,,0,1,0,0,0,0,2,2,0,2,0,110,2,2,0,2,9,9,4,3,{},{},{},,"{""biclique_vectors"":72,""boundary_index"":584,""boundary_intervals_and_events"":336,""canonical_segment_nodes"":56,""chain_edge_vectors"":8,""compact_path_records"":24,""compressed_flow_graph"":72,""dual_edges_and_adjacency"":104,""endpoint_tables"":64,""gap_region_labels"":96,""hld_arrays"":160,""path_tree_certificate_payload"":48}",boundary-laminar,1,1,56,0,0,1,0,1,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,laminar-chain-16,laminar-chain,"{""scale"":16,""t"":16}",0,verified,,false,14756,260,0,128,32,32,64,prepared-path-tree-input,5,1,54,1,2,260,12488,0,0,32,32,0,2490,7,15876,,,,,,,,1,64,64,64,,,0,0,67,128,32,32,97,,path-tree,vertical-tree-horizontal-paths,bound-estimate,33,33,32,1024,1024,32,2,1,32,32,896,896,1,64,,2,565,421,100,84,0,2912,1440,0,64,0,67588,2,64,0,1440,14756,14756,97,3,{},{},{},,"{""biclique_vectors"":568,""boundary_index"":12488,""boundary_intervals_and_events"":7776,""canonical_segment_nodes"":56,""chain_edge_vectors"":256,""compact_path_records"":768,""compressed_flow_graph"":1560,""dual_edges_and_adjacency"":2584,""endpoint_tables"":2048,""gap_region_labels"":2080,""hld_arrays"":2640,""path_tree_certificate_payload"":1536}",boundary-laminar,12,32,1048,0,0,32,0,1,0
72836293637c6fbb35f7c6982705632bbe8c2f3f,rustc 1.89.0 (29483883e 2025-08-04),"target/release/rect-cli benchmark --suite path-tree-scaling --sizes 3,8,16,32,64 --output results/v0.8-path-tree-families.csv",,1785036861,20,20,finite-grid-scaled-path-tree-geometry-families,ornaments;isolated-formal-boundary-points;line-segment-holes;point-holes;degenerate-formal-holes;general-polygon-input,laminar-star-16,laminar-star,"{""scale"":16,""teeth"":16}",0,verified,,false,289,66,0,31,15,0,15,prepared-path-tree-input,0,1,2,1,0,66,3176,0,0,15,15,0,159,1,561,,,,,,,,0,0,0,15,,,0,0,17,15,0,0,17,,path-tree,horizontal-tree-vertical-paths,bound-estimate,16,16,0,0,0,1,15,15,0,0,0,240,0,0,,0,19,17,2,4,15,0,1,0,1,0,2453,2,1,0,1,289,289,17,3,{},{},{},,"{""biclique_vectors"":0,""boundary_index"":3176,""boundary_intervals_and_events"":2304,""canonical_segment_nodes"":0,""chain_edge_vectors"":120,""compact_path_records"":0,""compressed_flow_graph"":256,""dual_edges_and_adjacency"":1224,""endpoint_tables"":480,""gap_region_labels"":528,""hld_arrays"":1280,""path_tree_certificate_payload"":360}",boundary-laminar,5,15,504,0,0,15,0,0,0
